Date,Price,Open,High,Low,Vol.,Change %
20-Apr,84.975,89.237,90.487,76.625,2.14K,-16.55%
20-Mar,101.825,108.325,112.65,91.075,576.66K,-9.65%
20-Feb,112.7,121.4,122.725,110.25,62.64K,-7.15%
20-Jan,121.375,126,127.55,121.125,485.01K,-2.67%
19-Dec,124.7,120.975,124.75,119.275,79.32K,2.89%
19-Nov,121.2,117.225,122.075,117.125,453.83K,8.53%
19-Oct,111.675,104.625,114.425,104.25,61.88K,6.79%
19-Sep,104.575,98.975,105.25,93.4,475.71K,-0.40%
19-Aug,105,107.125,108.925,99.7,66.27K,-1.78%
19-Jul,106.9,105,109.6,103.75,432.38K,-3.26%
19-Jun,110.5,108.95,112.325,106.325,92.20K,1.87%
19-May,108.475,114.425,114.875,107.65,572.80K,-12.34%
19-Apr,123.75,125.7,128.875,123.75,124.91K,-1.55%
19-Mar,125.7,130.15,130.45,125.625,507.91K,-3.27%
19-Feb,129.95,125,129.95,124.85,78.58K,4.13%
19-Jan,124.8,124.1,127.95,121.425,537.26K,0.00%
18-Dec,124.8,117.675,125.575,116.75,78.33K,6.74%
18-Nov,116.925,117.075,117.85,113.55,479.01K,0.93%
18-Oct,115.85,113.7,116,111.9,146.81K,2.12%
18-Sep,113.45,108.675,113.975,108.175,477.56K,6.23%
18-Aug,106.8,107.675,111.1,105.7,74.01K,-0.81%
18-Jul,107.675,107.175,110.675,102.7,516.53K,0.63%
18-Jun,107,105.25,110.675,104.55,64.03K,1.86%
18-May,105.05,106.3,108.1,101.375,586.65K,-15.11%
18-Apr,123.75,113.775,125.15,110.1,88.30K,8.79%
18-Mar,113.75,123.65,124.825,113.15,491.95K,-10.78%
18-Feb,127.5,124.6,130.525,124.25,67.58K,2.95%
18-Jan,123.85,122.25,126.75,116.25,484.90K,0.69%
17-Dec,123,120,125.875,115.075,58.40K,2.59%
17-Nov,119.9,125.675,127.875,116.775,494.36K,-0.50%
17-Oct,120.5,109.1,121,107.4,108.93K,10.45%
17-Sep,109.1,105.525,111.825,104.3,465.35K,4.38%
17-Aug,104.525,112.3,115.625,104.05,91.06K,-6.67%
