Date,U.S. Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)
Mar-1990,1.256
Apr-1990,1.246
May-1990,1.27
Jun-1990,1.31
Jul-1990,1.29
Aug-1990,1.258
Sep-1990,1.258
Oct-1990,1.335
Nov-1990,1.324
Dec-1990,1.2
Jan-1991,1.15
Feb-1991,1.094
Mar-1991,1.04
Apr-1991,1.076
May-1991,1.126
Jun-1991,1.128
Jul-1991,1.096
Aug-1991,1.115
Sep-1991,1.109
Oct-1991,1.088
Nov-1991,1.099
Dec-1991,1.076
Jan-1992,1.022
Feb-1992,1.006
Mar-1992,1.013
Apr-1992,1.052
May-1992,1.107
Jun-1992,1.145
Jul-1992,1.137
Aug-1992,1.122
Sep-1992,1.122
Oct-1992,1.114
Nov-1992,1.111
Dec-1992,1.078
Jan-1993,1.062
Feb-1993,1.054
Mar-1993,1.052
Apr-1993,1.078
May-1993,1.1
Jun-1993,1.097
Jul-1993,1.078
Aug-1993,1.062
Sep-1993,1.05
Oct-1993,1.092
Nov-1993,1.066
Dec-1993,1.014
Jan-1994,0.998
Feb-1994,1.009
Mar-1994,1.008
Apr-1994,1.027
May-1994,1.047
Jun-1994,1.078
Jul-1994,1.106
Aug-1994,1.155
Sep-1994,1.144
Oct-1994,1.114
Nov-1994,1.116
Dec-1994,1.091
Jan-1995,1.082
Feb-1995,1.073
Mar-1995,1.072
Apr-1995,1.111
May-1995,1.178
Jun-1995,1.192
Jul-1995,1.154
Aug-1995,1.123
Sep-1995,1.111
Oct-1995,1.087
Nov-1995,1.062
Dec-1995,1.071
Jan-1996,1.09
Feb-1996,1.089
Mar-1996,1.137
Apr-1996,1.231
May-1996,1.279
Jun-1996,1.256
Jul-1996,1.227
Aug-1996,1.207
Sep-1996,1.202
Oct-1996,1.204
Nov-1996,1.232
Dec-1996,1.235
Jan-1997,1.236
Feb-1997,1.23
Mar-1997,1.205
Apr-1997,1.199
May-1997,1.2
Jun-1997,1.198
Jul-1997,1.174
Aug-1997,1.224
Sep-1997,1.231
Oct-1997,1.197
Nov-1997,1.171
Dec-1997,1.131
Jan-1998,1.086
Feb-1998,1.049
Mar-1998,1.017
Apr-1998,1.03
May-1998,1.064
Jun-1998,1.064
Jul-1998,1.055
Aug-1998,1.026
Sep-1998,1.009
Oct-1998,1.019
Nov-1998,0.995
Dec-1998,0.945
Jan-1999,0.939
Feb-1999,0.921
Mar-1999,0.982
Apr-1999,1.131
May-1999,1.131
Jun-1999,1.114
Jul-1999,1.158
Aug-1999,1.221
Sep-1999,1.256
Oct-1999,1.244
Nov-1999,1.251
Dec-1999,1.273
Jan-2000,1.289
Feb-2000,1.377
Mar-2000,1.516
Apr-2000,1.465
May-2000,1.487
Jun-2000,1.633
Jul-2000,1.551
Aug-2000,1.465
Sep-2000,1.55
Oct-2000,1.532
Nov-2000,1.517
Dec-2000,1.443
Jan-2001,1.447
Feb-2001,1.45
Mar-2001,1.409
Apr-2001,1.552
May-2001,1.702
Jun-2001,1.616
Jul-2001,1.421
Aug-2001,1.421
Sep-2001,1.522
Oct-2001,1.315
Nov-2001,1.171
Dec-2001,1.086
Jan-2002,1.107
Feb-2002,1.114
Mar-2002,1.249
Apr-2002,1.397
May-2002,1.392
Jun-2002,1.382
Jul-2002,1.397
Aug-2002,1.396
Sep-2002,1.4
Oct-2002,1.445
Nov-2002,1.419
Dec-2002,1.386
Jan-2003,1.458
Feb-2003,1.613
Mar-2003,1.693
Apr-2003,1.589
May-2003,1.497
Jun-2003,1.493
Jul-2003,1.513
Aug-2003,1.62
Sep-2003,1.679
Oct-2003,1.564
Nov-2003,1.512
Dec-2003,1.479
Jan-2004,1.572
Feb-2004,1.648
Mar-2004,1.736
Apr-2004,1.798
May-2004,1.983
Jun-2004,1.969
Jul-2004,1.911
Aug-2004,1.878
Sep-2004,1.87
Oct-2004,2
Nov-2004,1.979
Dec-2004,1.841
Jan-2005,1.831
Feb-2005,1.91
Mar-2005,2.079
Apr-2005,2.243
May-2005,2.161
Jun-2005,2.156
Jul-2005,2.29
Aug-2005,2.486
Sep-2005,2.903
Oct-2005,2.717
Nov-2005,2.257
Dec-2005,2.185
Jan-2006,2.316
Feb-2006,2.28
Mar-2006,2.425
Apr-2006,2.742
May-2006,2.907
Jun-2006,2.885
Jul-2006,2.981
Aug-2006,2.952
Sep-2006,2.555
Oct-2006,2.245
Nov-2006,2.229
Dec-2006,2.313
Jan-2007,2.24
Feb-2007,2.278
Mar-2007,2.563
Apr-2007,2.845
May-2007,3.146
Jun-2007,3.056
Jul-2007,2.965
Aug-2007,2.786
Sep-2007,2.803
Oct-2007,2.803
Nov-2007,3.08
Dec-2007,3.018
Jan-2008,3.043
Feb-2008,3.028
Mar-2008,3.244
Apr-2008,3.458
May-2008,3.766
Jun-2008,4.054
Jul-2008,4.062
Aug-2008,3.779
Sep-2008,3.703
Oct-2008,3.051
Nov-2008,2.147
Dec-2008,1.687
Jan-2009,1.788
Feb-2009,1.923
Mar-2009,1.959
Apr-2009,2.049
May-2009,2.266
Jun-2009,2.631
Jul-2009,2.527
Aug-2009,2.616
Sep-2009,2.554
Oct-2009,2.551
Nov-2009,2.651
Dec-2009,2.607
Jan-2010,2.715
Feb-2010,2.644
Mar-2010,2.772
Apr-2010,2.848
May-2010,2.836
Jun-2010,2.732
Jul-2010,2.729
Aug-2010,2.73
Sep-2010,2.705
Oct-2010,2.801
Nov-2010,2.859
Dec-2010,2.993
Jan-2011,3.095
Feb-2011,3.211
Mar-2011,3.561
Apr-2011,3.8
May-2011,3.906
Jun-2011,3.68
Jul-2011,3.65
Aug-2011,3.639
Sep-2011,3.611
Oct-2011,3.448
Nov-2011,3.384
Dec-2011,3.266
Jan-2012,3.38
Feb-2012,3.579
Mar-2012,3.852
Apr-2012,3.9
May-2012,3.732
Jun-2012,3.539
Jul-2012,3.439
Aug-2012,3.722
Sep-2012,3.849
Oct-2012,3.746
Nov-2012,3.452
Dec-2012,3.31
Jan-2013,3.319
Feb-2013,3.67
Mar-2013,3.711
Apr-2013,3.57
May-2013,3.615
Jun-2013,3.626
Jul-2013,3.591
Aug-2013,3.574
Sep-2013,3.532
Oct-2013,3.344
Nov-2013,3.243
Dec-2013,3.276
Jan-2014,3.313
Feb-2014,3.356
Mar-2014,3.533
Apr-2014,3.661
May-2014,3.673
Jun-2014,3.692
Jul-2014,3.611
Aug-2014,3.487
Sep-2014,3.406
Oct-2014,3.171
Nov-2014,2.912
Dec-2014,2.543
Jan-2015,2.116
Feb-2015,2.216
Mar-2015,2.464
Apr-2015,2.469
May-2015,2.718
Jun-2015,2.802
Jul-2015,2.794
Aug-2015,2.636
Sep-2015,2.365
Oct-2015,2.29
Nov-2015,2.158
Dec-2015,2.038
Jan-2016,1.949
Feb-2016,1.764
Mar-2016,1.969
Apr-2016,2.113
May-2016,2.268
Jun-2016,2.366
Jul-2016,2.239
Aug-2016,2.178
Sep-2016,2.219
Oct-2016,2.249
Nov-2016,2.182
Dec-2016,2.254
Jan-2017,2.349
Feb-2017,2.304
Mar-2017,2.325
Apr-2017,2.417
May-2017,2.391
Jun-2017,2.347
Jul-2017,2.3
Aug-2017,2.38
Sep-2017,2.645
Oct-2017,2.505
Nov-2017,2.564
Dec-2017,2.477
Jan-2018,2.555
Feb-2018,2.587
Mar-2018,2.591
Apr-2018,2.757
May-2018,2.901
Jun-2018,2.891
Jul-2018,2.849
Aug-2018,2.836
Sep-2018,2.836
Oct-2018,2.86
Nov-2018,2.647
Dec-2018,2.366
Jan-2019,2.248
Feb-2019,2.309
Mar-2019,2.516
Apr-2019,2.798
May-2019,2.859
Jun-2019,2.716
Jul-2019,2.74
Aug-2019,2.621
Sep-2019,2.592
Oct-2019,2.627
Nov-2019,2.598
Dec-2019,2.555
Jan-2020,2.548
Feb-2020,2.442
Mar-2020,2.234
,
