Date,Price,Open,High,Low,Vol.,Change %
20-Mar,52.2,62.55,67.7,52.1,387.58K,-16.17%
20-Feb,62.27,57.88,68.25,54.67,229.76K,9.02%
20-Jan,57.12,71.6,72.6,56.85,418.97K,-20.02%
19-Dec,71.42,61.73,71.9,59.9,231.52K,15.16%
19-Nov,62.02,65.67,67.65,60.05,391.71K,-6.03%
19-Oct,66,64.7,72.12,60.45,343.46K,0.84%
19-Sep,65.45,64,68,59.77,439.21K,3.04%
19-Aug,63.52,79.33,80.3,59.3,306.36K,-19.93%
19-Jul,79.33,72.83,87.5,69.88,253.02K,10.03%
19-Jun,72.1,81.97,84.47,72,163.81K,-11.77%
19-May,81.72,84.47,93.03,81.4,170.01K,-3.06%
19-Apr,84.3,76.42,91.22,76.3,46.38K,8.94%
19-Mar,77.38,55.7,81.75,55.67,397.88K,38.48%
19-Feb,55.88,56.4,60.27,52.25,252.70K,-0.66%
19-Jan,56.25,61.38,64.22,56.15,361.12K,-7.76%
18-Dec,60.98,58.65,66.8,54.12,225.12K,5.36%
18-Nov,57.88,57.83,61.42,54,422.21K,-0.98%
18-Oct,58.45,62.8,69.25,51.27,381.32K,-5.98%
18-Sep,62.17,51.65,63.02,50.15,413.01K,23.30%
18-Aug,50.42,61,61,48.92,383.30K,-17.51%
18-Jul,61.12,83.08,84.08,60.88,185.61K,-26.25%
18-Jun,82.88,77.3,83.83,76.05,192.52K,8.17%
18-May,76.62,66.47,77.7,65.08,192.91K,15.57%
18-Apr,66.3,56.5,70.75,50.48,59.06K,15.81%
18-Mar,57.25,67.5,69.33,56.75,367.02K,-14.83%
18-Feb,67.22,73.75,75.9,67.12,261.79K,-8.19%
18-Jan,73.22,72,74.25,70.2,335.80K,2.01%
17-Dec,71.78,64.6,72.45,63.5,204.28K,11.67%
17-Nov,64.28,67.95,68,59.25,402.38K,-5.47%
17-Oct,68,55.85,68.17,55.65,325.21K,22.74%
17-Sep,55.4,61.3,64.45,54.92,437.56K,-9.77%
17-Aug,61.4,80.33,84.75,59.83,363.98K,-23.54%
17-Jul,80.3,91.05,92.83,79.78,155.30K,-11.39%
17-Jun,90.62,82.38,90.85,80.45,179.60K,10.62%
17-May,81.92,67,82.67,66.03,133.64K,22.32%
17-Apr,66.97,65.55,68.6,62.15,37.65K,1.98%
17-Mar,65.67,68.25,71.28,64.67,338.45K,-2.86%
17-Feb,67.6,69.5,75.1,66.03,246.79K,-2.14%
17-Jan,69.08,66.4,69.3,62.55,310.61K,4.43%
16-Dec,66.15,51.25,66.58,49.95,260.10K,29.66%
16-Nov,51.02,47.7,51.7,45.1,369.54K,6.40%
