Year,Frequency,Attribute,Commodity,Geography,Unit,Amount
1990,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",280229
1991,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",302843
1992,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",294927
1993,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",314873
1994,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",304297
1995,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",328724
1996,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",358379
1997,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",340297
1998,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",357934
1999,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",368527
2000,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",339603
2001,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",360339
2002,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",376238
2003,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",371528
2004,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",417005
2005,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",417900
2006,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",448070
2007,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",467512
2008,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",500363
2009,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",502079
2010,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",533853
2011,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",597504
2012,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",625749
2013,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",675695
2014,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",696638
2015,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",669596
2016,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",743062
2017,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",708993
2018,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",759386
2019,Local Market Year,Production,Corn,World less U.S.,"1,000 metric tons",765240
