Month,World.Prod,,,,,,,
Mar-90,22516.42,,,,,,,
Apr-90,22516.42,,,,,,,
May-90,22516.42,,,,,,,
Jun-90,22516.42,,,,,,,
Jul-90,22516.42,,,,,,,
Aug-90,23352.42,,,,,,,
Sep-90,23352.42,,,,,,,
Oct-90,23352.42,,,,,,,
Nov-90,23352.42,,,,,,,
Dec-90,23352.42,,,,,,,
Jan-91,23352.42,,,,,,,
Feb-91,23352.42,,,,,,,
Mar-91,23352.42,,,,,,,
Apr-91,23352.42,,,,,,,
May-91,23352.42,,,,,,,
Jun-91,23352.42,,,,,,,
Jul-91,23352.42,,,,,,,
Aug-91,25236.92,,,,,,,
Sep-91,25236.92,,,,,,,
Oct-91,25236.92,,,,,,,
Nov-91,25236.92,,,,,,,
Dec-91,25236.92,,,,,,,
Jan-92,25236.92,,,,,,,
Feb-92,25236.92,,,,,,,
Mar-92,25236.92,,,,,,,
Apr-92,25236.92,,,,,,,
May-92,25236.92,,,,,,,
Jun-92,25236.92,,,,,,,
Jul-92,25236.92,,,,,,,
Aug-92,24577.25,,,,,,,
Sep-92,24577.25,,,,,,,
Oct-92,24577.25,,,,,,,
Nov-92,24577.25,,,,,,,
Dec-92,24577.25,,,,,,,
Jan-93,24577.25,,,,,,,
Feb-93,24577.25,,,,,,,
Mar-93,24577.25,,,,,,,
Apr-93,24577.25,,,,,,,
May-93,24577.25,,,,,,,
Jun-93,24577.25,,,,,,,
Jul-93,24577.25,,,,,,,
Aug-93,26239.42,,,,,,,
Sep-93,26239.42,,,,,,,
Oct-93,26239.42,,,,,,,
Nov-93,26239.42,,,,,,,
Dec-93,26239.42,,,,,,,
Jan-94,26239.42,,,,,,,
Feb-94,26239.42,,,,,,,
Mar-94,26239.42,,,,,,,
Apr-94,26239.42,,,,,,,
May-94,26239.42,,,,,,,
Jun-94,26239.42,,,,,,,
Jul-94,26239.42,,,,,,,
Aug-94,25358.08,,,,,,,
Sep-94,25358.08,,,,,,,
Oct-94,25358.08,,,,,,,
Nov-94,25358.08,,,,,,,
Dec-94,25358.08,,,,,,,
Jan-95,25358.08,,,,,,,
Feb-95,25358.08,,,,,,,
Mar-95,25358.08,,,,,,,
Apr-95,25358.08,,,,,,,
May-95,25358.08,,,,,,,
Jun-95,25358.08,,,,,,,
Jul-95,25358.08,,,,,,,
Aug-95,27292.67,,,,,,,
Sep-95,27292.67,,,,,,,
Oct-95,27292.67,,,,,,,
Nov-95,27292.67,,,,,,,
Dec-95,27292.67,,,,,,,
Jan-96,27292.67,,,,,,,
Feb-96,27292.67,,,,,,,
Mar-96,27292.67,,,,,,,
Apr-96,27292.67,,,,,,,
May-96,27292.67,,,,,,,
Jun-96,27292.67,,,,,,,
Jul-96,27292.67,,,,,,,
Aug-96,29864.92,,,,,,,
Sep-96,29864.92,,,,,,,
Oct-96,29864.92,,,,,,,
Nov-96,29864.92,,,,,,,
Dec-96,29864.92,,,,,,,
Jan-97,29864.92,,,,,,,
Feb-97,29864.92,,,,,,,
Mar-97,29864.92,,,,,,,
Apr-97,29864.92,,,,,,,
May-97,29864.92,,,,,,,
Jun-97,29864.92,,,,,,,
Jul-97,29864.92,,,,,,,
Aug-97,28358.08,,,,,,,
Sep-97,28358.08,,,,,,,
Oct-97,28358.08,,,,,,,
Nov-97,28358.08,,,,,,,
Dec-97,28358.08,,,,,,,
Jan-98,28358.08,,,,,,,
Feb-98,28358.08,,,,,,,
Mar-98,28358.08,,,,,,,
Apr-98,28358.08,,,,,,,
May-98,28358.08,,,,,,,
Jun-98,28358.08,,,,,,,
Jul-98,28358.08,,,,,,,
Aug-98,29864.92,,,,,,,
Sep-98,29864.92,,,,,,,
Oct-98,29864.92,,,,,,,
Nov-98,29864.92,,,,,,,
Dec-98,29864.92,,,,,,,
Jan-99,29864.92,,,,,,,
Feb-99,29864.92,,,,,,,
Mar-99,29864.92,,,,,,,
Apr-99,29864.92,,,,,,,
May-99,29864.92,,,,,,,
Jun-99,29864.92,,,,,,,
Jul-99,29864.92,,,,,,,
Aug-99,30710.58,,,,,,,
Sep-99,30710.58,,,,,,,
Oct-99,30710.58,,,,,,,
Nov-99,30710.58,,,,,,,
Dec-99,30710.58,,,,,,,
Jan-00,30710.58,,,,,,,
Feb-00,30710.58,,,,,,,
Mar-00,30710.58,,,,,,,
Apr-00,30710.58,,,,,,,
May-00,30710.58,,,,,,,
Jun-00,30710.58,,,,,,,
Jul-00,30710.58,,,,,,,
Aug-00,28300.25,,,,,,,
Sep-00,28300.25,,,,,,,
Oct-00,28300.25,,,,,,,
Nov-00,28300.25,,,,,,,
Dec-00,28300.25,,,,,,,
1-Jan,28300.25,,,,,,,
1-Feb,28300.25,,,,,,,
