"","Month","cornprice","hogprice","cattleprice","poultryprice","gasprice","worldcornprod","US.Prod"
"1","Mar-90","261.25"," 53.40"," 77.870",1.11,1.256,886.42642256,627.66
"2","Apr-90","281.25"," 63.12"," 72.970",1.08,1.246,886.42642256,627.66
"3","May-90","278.00"," 65.50"," 74.000",1.08,1.27,886.42642256,627.66
"4","Jun-90","295.50"," 60.40"," 73.070",1.11,1.31,886.42642256,627.66
"5","Jul-90","260.25"," 61.22"," 78.320",1.1,1.29,886.42642256,627.66
"6","Aug-90","243.25"," 48.30"," 76.320",1.1,1.258,919.33807056,661.17
"7","Sep-90","228.00"," 54.82"," 79.050",1.09,1.258,919.33807056,661.17
"8","Oct-90","229.25"," 51.77"," 77.450",1.07,1.335,919.33807056,661.17
"9","Nov-90","227.75"," 50.90"," 78.550",1.07,1.324,919.33807056,661.17
"10","Dec-90","231.75"," 48.87"," 77.200",1.05,1.2,919.33807056,661.17
"11","Jan-91","244.25"," 52.40"," 78.600",1.05,1.15,919.33807056,661.17
"12","Feb-91","241.25"," 51.87"," 80.220",1.08,1.094,919.33807056,661.17
"13","Mar-91","252.75"," 53.12"," 81.400",1.07,1.04,919.33807056,661.17
"14","Apr-91","246.50"," 58.92"," 76.100",1.06,1.076,919.33807056,661.17
"15","May-91","245.75"," 56.30"," 75.720",1.06,1.126,919.33807056,661.17
"16","Jun-91","225.00"," 54.57"," 72.220",1.05,1.128,919.33807056,661.17
"17","Jul-91","258.00"," 53.42"," 70.400",1.07,1.096,919.33807056,661.17
"18","Aug-91","249.00"," 44.17"," 70.050",1.05,1.115,993.52706656,622.9
"19","Sep-91","249.25"," 45.92"," 74.900",1.05,1.109,993.52706656,622.9
"20","Oct-91","251.00"," 41.73"," 73.500",1.06,1.088,993.52706656,622.9
"21","Nov-91","238.75"," 42.12"," 73.525",1.04,1.099,993.52706656,622.9
"22","Dec-91","251.50"," 39.30"," 72.400",1.04,1.076,993.52706656,622.9
"23","Jan-92","264.25"," 41.12"," 76.675",1.05,1.022,993.52706656,622.9
"24","Feb-92","264.75"," 39.73"," 77.400",1.03,1.006,993.52706656,622.9
"25","Mar-92","264.25"," 40.65"," 79.225",1.04,1.013,993.52706656,622.9
"26","Apr-92","244.00"," 48.10"," 73.100",1.04,1.052,993.52706656,622.9
"27","May-92","259.50"," 46.95"," 71.925",1.04,1.107,993.52706656,622.9
"28","Jun-92","248.25"," 47.33"," 72.425",1.05,1.145,993.52706656,622.9
"29","Jul-92","220.25"," 43.00"," 73.825",1.06,1.137,993.52706656,622.9
"30","Aug-92","218.75"," 40.05"," 73.750",1.08,1.122,967.557178,789.72
"31","Sep-92","215.25"," 42.33"," 75.300",1.08,1.122,967.557178,789.72
"32","Oct-92","207.25"," 42.42"," 73.775",1.06,1.114,967.557178,789.72
"33","Nov-92","212.50"," 44.48"," 76.775",1.09,1.111,967.557178,789.72
"34","Dec-92","216.50"," 43.62"," 77.125",1.09,1.078,967.557178,789.72
"35","Jan-93","214.50"," 44.02"," 77.500",1.11,1.062,967.557178,789.72
"36","Feb-93","211.25"," 45.52"," 80.225",1.13,1.054,967.557178,789.72
"37","Mar-93","230.25"," 50.48"," 81.850",1.15,1.052,967.557178,789.72
"38","Apr-93","228.00"," 51.35"," 76.775",1.18,1.078,967.557178,789.72
"39","May-93","224.50"," 51.38"," 75.325",1.24,1.1,967.557178,789.72
"40","Jun-93","222.75"," 47.65"," 75.050",1.23,1.097,967.557178,789.72
"41","Jul-93","235.75"," 48.92"," 75.850",1.25,1.078,967.557178,789.72
"42","Aug-93","229.75"," 47.17"," 75.150",1.28,1.062,1032.99348656,528.14
"43","Sep-93","244.75"," 47.12"," 73.200",1.27,1.05,1032.99348656,528.14
"44","Oct-93","257.75"," 49.05"," 74.050",1.23,1.092,1032.99348656,528.14
"45","Nov-93","279.50"," 45.08"," 71.550",1.21,1.066,1032.99348656,528.14
"46","Dec-93","306.00"," 45.35"," 73.450",1.18,1.014,1032.99348656,528.14
"47","Jan-94","290.25"," 50.42"," 73.300",1.16,0.998,1032.99348656,528.14
"48","Feb-94","285.50"," 49.50"," 77.100",1.18,1.009,1032.99348656,528.14
"49","Mar-94","274.75"," 46.65"," 76.625",1.22,1.008,1032.99348656,528.14
"50","Apr-94","269.00"," 51.23"," 71.300",1.23,1.027,1032.99348656,528.14
"51","May-94","278.75"," 47.60"," 66.275",1.3,1.047,1032.99348656,528.14
"52","Jun-94","249.25"," 47.08"," 64.150",1.31,1.078,1032.99348656,528.14
"53","Jul-94","218.75"," 46.38"," 68.850",1.28,1.106,1032.99348656,528.14
"54","Aug-94","220.75"," 38.58"," 70.850",1.23,1.155,998.29689344,837.54
"55","Sep-94","215.75"," 36.42"," 68.500",1.24,1.144,998.29689344,837.54
"56","Oct-94","215.75"," 35.27"," 70.000",1.2,1.114,998.29689344,837.54
"57","Nov-94","213.00"," 30.68"," 67.425",1.14,1.116,998.29689344,837.54
"58","Dec-94","231.00"," 39.35"," 72.675",1.13,1.091,998.29689344,837.54
"59","Jan-95","229.50"," 39.80"," 74.350",1.13,1.082,998.29689344,837.54
"60","Feb-95","234.25"," 39.75"," 74.275",1.13,1.073,998.29689344,837.54
"61","Mar-95","250.00"," 37.48"," 67.350",1.14,1.072,998.29689344,837.54
"62","Apr-95","249.00"," 42.35"," 62.950",1.13,1.111,998.29689344,837.54
"63","May-95","266.00"," 43.92"," 61.025",1.15,1.178,998.29689344,837.54
"64","Jun-95","272.00"," 47.40"," 62.800",1.19,1.192,998.29689344,837.54
"65","Jul-95","281.75"," 48.25"," 63.800",1.24,1.154,998.29689344,837.54
"66","Aug-95","295.50"," 44.65"," 63.325",1.31,1.123,1074.45783256,616.67
"67","Sep-95","311.75"," 46.35"," 64.950",1.34,1.111,1074.45783256,616.67
"68","Oct-95","332.50"," 43.70"," 68.350",1.29,1.087,1074.45783256,616.67
"69","Nov-95","330.75"," 44.88"," 67.600",1.32,1.062,1074.45783256,616.67
"70","Dec-95","369.25"," 48.58"," 66.425",1.29,1.071,1074.45783256,616.67
"71","Jan-96","369.00"," 46.62"," 64.025",1.29,1.09,1074.45783256,616.67
"72","Feb-96","395.00"," 48.55"," 63.925",1.25,1.089,1074.45783256,616.67
"73","Mar-96","409.00"," 51.55"," 63.425",1.22,1.137,1074.45783256,616.67
"74","Apr-96","462.50"," 59.75"," 57.350",1.24,1.231,1074.45783256,616.67
"75","May-96","477.25"," 61.88"," 61.675",1.33,1.279,1074.45783256,616.67
"76","Jun-96","516.25"," 55.23"," 65.825",1.43,1.256,1074.45783256,616.67
"77","Jul-96","354.25"," 58.73"," 65.275",1.46,1.227,1074.45783256,616.67
"78","Aug-96","370.50"," 52.42"," 72.225",1.47,1.207,1175.72217056,769.38
"79","Sep-96","296.75"," 57.73"," 73.325",1.47,1.202,1175.72217056,769.38
"80","Oct-96","266.00"," 54.40"," 66.675",1.45,1.204,1175.72217056,769.38
"81","Nov-96","270.75"," 59.15"," 67.025",1.45,1.232,1175.72217056,769.38
"82","Dec-96","258.25"," 79.22"," 64.975",1.44,1.235,1175.72217056,769.38
"83","Jan-97","270.25"," 74.90"," 64.750",1.42,1.236,1175.72217056,769.38
"84","Feb-97","296.75"," 74.47"," 69.625",1.38,1.23,1175.72217056,769.38
